"b_medium","b_low","b_indep","b_high","b_other","b_labelbio","b_labelpleinair","b_calibreL","b_control","b_valqvol","mu_lnorm1","sigma_lnorm1","mu_lnorm2","sigma_lnorm2","logLike"
3.3,2.65,1.88,3.7,1.9,0.61,0.47,0.18,0,-0.26,2.4,0.84,2.4,0.84,-14004.3386269517
3.3,2.65,1.88,3.7,1.9,0.61,0.47,0.18,0,-0.26,2.4,0.84,2.4,0.84,-14004.3386269517
