"b_low","b_indep","b_high","b_labelbio","b_labelpleinair","b_calibreL","b_valqvol","mu_lnorm","sigma_lnorm","b_control","logLike"
0,0,0,0,0,0,0,-3,0,0,-193655.852751929
0,0,0,0,0,0,0,-3,0,0,-193655.852751929
0.00278873723745346,-0.00922710174322129,0.00169323210418224,-0.00274195665121079,-0.0012687753289938,-0.00189185045659542,-0.035026300534606,-2.99990406405926,6.24358654022217e-09,0.0144042480736971,-191753.373967513
0.0225480867099831,-0.0624116708831305,0.0113578788813065,-0.0209086828771826,-0.0100786103970422,-0.015572099074728,-0.0289629211842888,-2.99932595814973,4.81229417807835e-08,0.0766595286237012,-190243.276658539
0.740374073886887,-2.01388001387128,0.370121555915914,-0.700970900173797,-0.314397272782633,-0.4934454692485,-0.0580353885724318,-2.97802252300021,2.35306011660037e-06,-0.0373830895434263,-177182.885468255
0.674233767983678,-2.1155386810504,0.362533284813436,-0.801810202300264,-0.376049735317916,-0.276179076360548,-0.055341592226108,-2.97447406845523,3.94392337651005e-06,-0.0380324757676292,-176299.011179001
0.557935530437865,-2.23889799970655,-0.0977257824394173,-0.943820453958811,-0.417935019099139,-0.23924320548909,-0.0548837085156255,-2.9592251627554,1.29733616731442e-05,-0.0394808699735061,-176294.711865924
0.514104851742316,-2.26630237150278,-0.119049832548728,-0.940785824191399,-0.389401855036603,-0.242610558181514,-0.0539061484841854,-2.95638736019831,1.51322980046849e-05,-0.0394247404537902,-176259.441666763
0.499487556394519,-2.30833588480199,-0.146649242838955,-0.860581007745791,-0.400873137504071,-0.22578789545493,-0.0526605517599238,-2.94440952877576,2.4453922183998e-05,-0.0399831673906419,-176250.541586545
0.518382995756884,-2.31707544768031,-0.158088991753681,-0.845203357276129,-0.375121807702819,-0.208737043997726,-0.052398204915203,-2.93112665490431,3.46000337936221e-05,-0.0397961353190477,-176249.958624474
0.511948783788789,-2.29939971018968,-0.145078980380152,-0.823539193892412,-0.361467583844921,-0.188713805212724,-0.0521452937312083,-1.10137452662419,0.00140995246246048,-0.0377470359546949,-176044.092447792
0.492291280149976,-2.25601051082522,-0.110460690290424,-0.757345792761905,-0.318553183523962,-0.13610170394927,-0.0507074571673797,1.88634069142764,0.837797404071863,-0.0322769520447074,-175761.324114901
0.491092101053779,-2.25343164538737,-0.108354856777129,-0.754133545801623,-0.316493016214527,-0.132953770287248,-0.0506353782507099,2.02558935170609,0.965273036542413,-0.0319238543318675,-175739.241534011
0.313831499313444,-1.90972857759398,0.200401356895974,-0.592602630547211,-0.220498619190555,0.304379626299071,-0.0444788771350229,1.6700884445221,0.534671034001846,0.0271916955352729,-172327.063104685
0.317016998142436,-1.82480349939061,0.248835873048142,-0.543963577806097,-0.183197643251503,0.350794582958019,-0.041767676220179,1.88343603263134,0.728347956615994,0.0357854371019754,-171791.075694032
0.394529613354809,-1.45521958736154,0.373219817432097,-0.357417773656092,-0.0348520071097183,0.393514140350635,-0.0306787614201542,0.821047597819806,0.529356456866489,0.0643331247021457,-171375.730543758
0.482607805764915,-1.28673424763491,0.438402175091079,-0.108480272668961,0.174924043792064,0.376785912126966,-0.0197547063780033,1.4225401995633,1.21464787104297,0.0619316171043644,-169047.148609294
0.450064706126466,-1.49061144649157,0.373043104484577,0.0122349175391842,0.253797620969673,0.384602191018831,-0.0253635903148333,1.39967674213172,1.2519722122963,0.0347924810090304,-168535.926964599
0.406879026430284,-1.52887269998523,0.356366358574021,0.158386024884643,0.358753574847221,0.416983822296653,-0.0203257419943341,1.388259128579,1.32429187104604,0.0135268422454214,-168258.895040668
0.401246733610993,-1.46466534165939,0.385167301963309,0.271963527042743,0.445847523156985,0.449849200033308,-0.0152897537827661,1.40267369043975,1.36266201520381,0.00157129176765841,-168159.785759818
0.409335767902285,-1.42302756661312,0.402120660319832,0.307609229045251,0.472958339838518,0.460340580789826,-0.0137991562229221,1.425314201272,1.34349422554961,-0.000195526730897383,-168139.397352525
0.42160445683916,-1.3688050318677,0.423457491966923,0.358287605742823,0.50969870092905,0.473407481118097,-0.0121453546292566,1.48488097167348,1.26270320392348,-0.00146570979436152,-168106.942746489
