"b_medium","b_low","b_indep","b_high","b_labelbio","b_labelpleinair","b_nolabel","b_calibreL","b_calibreM","mu_lnorm","sigma_lnorm","c_couple_35","c_couple_65","c_couple_3565","c_family_05","c_family_1217","c_family_1824","c_family_611","c_single_35","c_single_65","c_single_3565","c_high","c_low_middle","c_high_middle","c_low","b_nosale","b_control","logLike"
0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106377.10297161
0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106377.10297161
0.536562288179994,0.473260995931924,-3.53007312398404,0.0963823636993766,-1.53200889471918,-1.4777814084664,0,-1.49023934733123,0,-2.94526796974242,-6.76140189170838e-06,0.00131577719002962,0.00642942730337382,0.00893727410584689,0.00442388933151961,0,0.00762434210628271,0.00589424278587103,0.00113729853183031,0.0050562433898449,0.00650014262646437,0.00681754667311907,0,0.0151087390258908,0.00877957325428725,0,0.000237110070884228,-102908.544703789
0.14790748391469,-0.510249144352563,-4.41169049567529,0.300428085131981,-2.1689514872818,-1.31252060883614,0,-0.945438601790135,0,-2.92264609965587,-1.35298219679799e-05,0.00198504930139193,0.0082111489538023,0.0124987605788409,0.0062794848134186,0,0.0113035667672092,0.00871054848756394,0.00168763868530691,0.00602703044842393,0.00950612636935376,0.0085432713110363,0,0.0197067010112973,0.013800395487452,0,0.000153730178144198,-99697.7107719192
-0.550692046755435,-0.716731144732023,-5.05229636851341,-0.500268747020121,-2.53651040986207,-1.07624617053769,0,-0.488394818914737,0,-2.89761864558094,-2.41336177188222e-05,0.00278273158087968,0.00972480622874116,0.0164593686943586,0.00836892683527182,0,0.0157333649331676,0.0120996585823236,0.00232760307837633,0.00636902064130741,0.0128515757064553,0.00969342114711173,0,0.023849639419098,0.020173183131768,0,7.96797083589001e-05,-97644.3520607635
-0.537544128775367,-1.00451962820588,-5.28367614028002,-0.825443703803697,-2.35312270554099,-0.884434939657097,0,-0.590147897532053,0,-2.89166813093583,-3.13830692076711e-05,0.00312039496370403,0.00890543883593495,0.017320301942474,0.0089300507923668,0,0.017631808649116,0.0135303200532283,0.0025681581970394,0.00470067820491715,0.0138952250210971,0.00824213436270195,0,0.0224072115124272,0.0237323882087186,0,0.000176854831488547,-97296.6567518353
-0.703106453384751,-1.08425313008814,-5.48085838261116,-0.848408628979992,-2.05731052126248,-0.852139873987869,0,-0.613699752214588,0,-2.88858779623562,-3.83537628923759e-05,0.00343810334141575,0.00739840475746199,0.0176840739766247,0.00927070186688866,0,0.0193933269331527,0.0148254555715005,0.00276813471208111,0.00221242247947707,0.014690979376126,0.00594615387310538,0,0.0193995451388603,0.0274810463280633,0,0.000340909995999123,-97077.4035967034
-0.673082663935773,-1.08139030975896,-5.73586099414095,-0.884558376842444,-1.72800805173663,-0.820510306621825,0,-0.427872166251546,0,-2.88689672023465,-4.84739434392225e-05,0.00384693080334405,0.0047258029948492,0.0177693619921441,0.0095481510673267,0,0.0217061194123294,0.0165076785980434,0.00300416019184004,-0.00193751124654635,0.0155114996604553,0.00199064171664382,0,0.013883274470393,0.0327990144492511,0,0.0006345704122862,-96969.4679783818
-0.673241655425883,-1.07152670453205,-5.74240439549483,-0.877255803081459,-1.72844100636554,-0.797778761488827,0,-0.430317684398293,0,-2.88613694481964,-5.27777868350383e-05,0.00402422769626633,0.00356098162498568,0.0178177621067937,0.00967146247641709,0,0.0227261584517084,0.017243690116082,0.00310295964759044,-0.00375479155563475,0.0158627915687717,0.000267711324825738,0,0.0114730354917501,0.0351503504876813,0,0.000791089353037961,-96967.5780243187
-0.702092462957482,-1.03281855653511,-5.31746941062997,-0.897444343036648,-1.66178553559013,-0.79380418319647,0,-0.451370378471874,0,-1.95575997266599,-0.00428960595405657,0.182064228488155,-1.11812170559185,0.0949247217351783,0.145267176326743,0,1.05018054050695,0.75965594033864,0.103507577020232,-1.76844503098947,0.38171768741403,-1.66899310760118,0,-2.30247668577462,2.37675100270372,0,0.155431254808509,-95684.4024398637
